lu,lang,swefn_lu_id,gfol_lu_id,dicoenviro_lu_id,dicoinfo_lu_id,germanfn_lu_id,brasilfn_lu_id,spanishfn_lu_id,bfn_lu_id
agora,pt,,,,,,33026,,
agora,pt,,,,,,32469,,
afternoon,en,,,,,,6002,,4060
afterward,en,,,,,,32986,,10888
afterwards,en,,,,,,32987,,10919
again,en,,,,,,12952,,
against,en,,,,,,32339 29612,,17783 11499
agape,en,,,,,,13519,,10257
agora,pt,,,,,,15032,,
agosto,pt,,,,,,5929,,
agradar,pt,,,,,,13430,,
agradável,pt,,,,,,31116,,
agradável,pt,,,,,,29341,,
agradecer,pt,,,,,,13431,,
agravação,pt,,,,,,31117,,
agravante,pt,,,,,,31118,,
agredido,pt,,,,,,13324,,
agredir,pt,,,,,,6717,,
agregado,pt,,,,,,18418,,
age,en,,,,,,17626 6003 1018 839,,11300 14252 13977
agency,en,,,,,,33330 23204 5770,,14023
agenda,en,,,,,,33057,,17654
agent,en,,,,,,24709 17627 529,,11608 14864 14688
abitation,fr,,,,,,290,,
abondance,fr,,,4,,,,,
agregar,pt,,,,,,15349,,
agressão,pt,,,,,,13326,,
agressão física,pt,,,,,,13325,,
agressividade,pt,,,,,,15973,,
agressivo,pt,,,,,,15204,,
agressor,pt,,,,,,23979,,
agressor,pt,,,,,,2595,,
agropecuária,pt,,,,,,13978,,
agropecuária,pt,,,,,,5638,,
agroturismo,pt,,,,,,2824,,
agrupar,pt,,,,,,16294,,
agrupar,pt,,,,,,15350,,
água,pt,,,,,,31587,,
água,pt,,,,,,22380,,
água,pt,,,,,,17096,,
água,pt,,,,,,14429,,
água,pt,,,,,,12624,,
água de coco,pt,,,,,,14428,,
água sanitária,pt,,,,,,17955,,
aguar,pt,,,,,,31588,,
agglutinate,en,,,,,,3099 2538,,4836 5579
aggrandizement,en,,,,,,6671,,1646
aguar,pt,,,,,,17578,,
aguar,pt,,,,,,14430,,
aguardar,pt,,,,,,34231,,
aggravate,en,,,,,,30969,,4293
aggravating,en,,,,,,31259,,6317
aggravation,en,,,,,,31260,,6772
aggressor,en,,,,,,2596,,
aggrieve,en,,,,,,30970,,780
aging,en,,,,,,1019,,14250
agitated,en,,,,,,12249,,8776
agitation,en,,,,,,12250,,7291
agnolini soup,en,,,,,,14659,,
agnomen,en,,,,,,3415,,7454
abondant,fr,,,5,,,,,
absorber,fr,,,1309,,,,,
aguardente,pt,,,,,,17097,,
aguardente,pt,,,,,,14431,,
águas,pt,,,,,,31589,,
águas,pt,,,,,,14432,,
